mes,precipitaciones,id,NAMEUNIT
2021-10-15,45.7,23,Jaén
2021-11-15,51,23,Jaén
2021-12-15,51.8,23,Jaén
2021-01-15,72.8,26,La Rioja
2021-02-15,54.2,26,La Rioja
2021-03-15,17.6,26,La Rioja
2021-04-15,46.5,26,La Rioja
2021-05-15,47.1,26,La Rioja
2021-06-15,94.8,26,La Rioja
2021-07-15,4.1,26,La Rioja
2021-08-15,16.9,26,La Rioja
2021-09-15,42,26,La Rioja
2021-10-15,37.2,26,La Rioja
2021-11-15,115.8,26,La Rioja
2021-12-15,49.7,26,La Rioja
2021-01-15,92,24,León
2021-02-15,128.2,24,León
2021-03-15,19.4,24,León
2021-04-15,56.6,24,León
2021-05-15,48.9,24,León
2021-06-15,77.6,24,León
2021-07-15,6,24,León
2021-08-15,9.2,24,León
2021-09-15,71.8,24,León
2021-10-15,60.1,24,León
2021-11-15,59.8,24,León
2021-12-15,112.1,24,León
2021-01-15,59.3,25,Lleida
2021-02-15,42,25,Lleida
2021-03-15,12.6,25,Lleida
2021-04-15,81.7,25,Lleida
2021-05-15,37.5,25,Lleida
2021-06-15,66.9,25,Lleida
2021-07-15,38.6,25,Lleida
2021-08-15,19,25,Lleida
2021-09-15,55.7,25,Lleida
2021-10-15,45,25,Lleida
2021-11-15,58.6,25,Lleida
2021-12-15,32.9,25,Lleida
2021-01-15,179.5,27,Lugo
2021-02-15,221.7,27,Lugo
2021-03-15,26.6,27,Lugo
2021-04-15,79.5,27,Lugo
2021-05-15,78.4,27,Lugo
2021-06-15,101.7,27,Lugo
2021-07-15,13.5,27,Lugo
2021-08-15,17.6,27,Lugo
2021-09-15,59.5,27,Lugo
2021-10-15,111,27,Lugo
2021-11-15,114.1,27,Lugo
2021-12-15,179.8,27,Lugo
2021-01-15,69.3,28,Madrid
2021-02-15,61.7,28,Madrid
2021-03-15,6.1,28,Madrid
2021-04-15,77,28,Madrid
2021-05-15,25.7,28,Madrid
2021-06-15,40,28,Madrid
2021-07-15,5.6,28,Madrid
2021-08-15,30,28,Madrid
2021-09-15,63,28,Madrid
2021-10-15,84.1,28,Madrid
2021-11-15,25.2,28,Madrid
2021-12-15,36,28,Madrid
2021-01-15,139.5,29,Málaga
2021-02-15,43.7,29,Málaga
2021-03-15,35.5,29,Málaga
2021-04-15,56.9,29,Málaga
2021-05-15,16.5,29,Málaga
2021-06-15,6.4,29,Málaga
2021-07-15,0,29,Málaga
2021-08-15,1.2,29,Málaga
2021-09-15,29.9,29,Málaga
2021-10-15,13.1,29,Málaga
2021-11-15,26.5,29,Málaga
2021-12-15,70.9,29,Málaga
2021-01-15,44.5,30,Murcia
2021-02-15,2.3,30,Murcia
2021-03-15,52.6,30,Murcia
2021-04-15,61.6,30,Murcia
2021-05-15,48.7,30,Murcia
2021-06-15,32.6,30,Murcia
2021-07-15,9.3,30,Murcia
2021-08-15,3.3,30,Murcia
2021-09-15,32.4,30,Murcia
2021-10-15,20.1,30,Murcia
2021-11-15,37.4,30,Murcia
2021-12-15,4.2,30,Murcia
2021-01-15,98.8,31,Navarra
2021-02-15,85.9,31,Navarra
2021-03-15,23.8,31,Navarra
2021-04-15,43.7,31,Navarra
2021-05-15,44.2,31,Navarra
2021-06-15,87.9,31,Navarra
2021-07-15,17.6,31,Navarra
2021-08-15,28.3,31,Navarra
2021-09-15,64.3,31,Navarra
2021-10-15,45,31,Navarra
2021-11-15,161.1,31,Navarra
2021-12-15,186.9,31,Navarra
2021-01-15,138.9,32,Ourense
2021-02-15,234.4,32,Ourense
2021-03-15,10.9,32,Ourense
2021-04-15,98.8,32,Ourense
2021-05-15,65,32,Ourense
2021-06-15,86.1,32,Ourense
2021-07-15,5.5,32,Ourense
2021-08-15,23,32,Ourense
2021-09-15,65.9,32,Ourense
2021-10-15,97.5,32,Ourense
