region,mes,precipitaciones
25,2020-06-15,100.4
25,2020-07-15,32.6
25,2020-08-15,26.2
25,2020-09-15,39.8
25,2020-10-15,56.6
25,2020-11-15,62.7
25,2020-12-15,29.3
27,2020-01-15,117.5
27,2020-02-15,51.8
27,2020-03-15,132.8
27,2020-04-15,93
27,2020-05-15,40.4
27,2020-06-15,45.5
27,2020-07-15,8.5
27,2020-08-15,91.2
27,2020-09-15,60.2
27,2020-10-15,156.5
27,2020-11-15,72.5
27,2020-12-15,274.2
28,2020-01-15,32.5
28,2020-02-15,1.1
28,2020-03-15,72.6
28,2020-04-15,77.4
28,2020-05-15,50.6
28,2020-06-15,14.1
28,2020-07-15,6.7
28,2020-08-15,24.4
28,2020-09-15,57.6
28,2020-10-15,77.9
28,2020-11-15,71.5
28,2020-12-15,53.3
29,2020-01-15,114.9
29,2020-02-15,2.2
29,2020-03-15,110.3
29,2020-04-15,69.2
29,2020-05-15,53.7
29,2020-06-15,4.8
29,2020-07-15,0.2
29,2020-08-15,0.8
29,2020-09-15,10.3
29,2020-10-15,44.4
29,2020-11-15,111.1
29,2020-12-15,42.5
30,2020-01-15,73.4
30,2020-02-15,2
30,2020-03-15,119.4
30,2020-04-15,51.9
30,2020-05-15,25
30,2020-06-15,14.4
30,2020-07-15,8.1
30,2020-08-15,6.3
30,2020-09-15,10.6
30,2020-10-15,6.7
30,2020-11-15,40.5
30,2020-12-15,6.3
31,2020-01-15,48.2
31,2020-02-15,19.8
31,2020-03-15,145.3
31,2020-04-15,92.3
31,2020-05-15,67.8
31,2020-06-15,79.2
31,2020-07-15,13.8
31,2020-08-15,44.1
31,2020-09-15,62
31,2020-10-15,113.7
31,2020-11-15,31.8
31,2020-12-15,192.2
32,2020-01-15,91.6
32,2020-02-15,31
32,2020-03-15,118.7
32,2020-04-15,116.1
32,2020-05-15,47.4
32,2020-06-15,30.9
32,2020-07-15,5.6
32,2020-08-15,39.4
32,2020-09-15,51.7
32,2020-10-15,135.3
32,2020-11-15,86.7
32,2020-12-15,219.4
34,2020-01-15,31
34,2020-02-15,8.8
34,2020-03-15,39.6
34,2020-04-15,127.9
34,2020-05-15,42.9
34,2020-06-15,48.2
34,2020-07-15,24.4
34,2020-08-15,34.8
34,2020-09-15,48.6
34,2020-10-15,109.7
34,2020-11-15,25.3
34,2020-12-15,59.2
35,2020-01-15,216.3
35,2020-02-15,102.3
35,2020-03-15,157
35,2020-04-15,191.3
35,2020-05-15,58.4
35,2020-06-15,42.7
35,2020-07-15,0.2
35,2020-08-15,93.7
35,2020-09-15,72.4
35,2020-10-15,187.3
35,2020-11-15,131.4
35,2020-12-15,402.8
36,2020-01-15,34.6
36,2020-02-15,5
36,2020-03-15,63
36,2020-04-15,110
36,2020-05-15,35.1
36,2020-06-15,6.5
36,2020-07-15,7.4
36,2020-08-15,7.9
36,2020-09-15,42
36,2020-10-15,119.2
36,2020-11-15,67.2
36,2020-12-15,54.2
38,2020-01-15,30.8
38,2020-02-15,2.9
38,2020-03-15,54
38,2020-04-15,82.1
38,2020-05-15,54.3
38,2020-06-15,41.1
38,2020-07-15,23.9
38,2020-08-15,24.1
38,2020-09-15,60.8
38,2020-10-15,64.7
38,2020-11-15,32.6
38,2020-12-15,74.7
39,2020-01-15,77.9
39,2020-02-15,1.5
39,2020-03-15,77.4
39,2020-04-15,78.3
39,2020-05-15,46.7
39,2020-06-15,2
39,2020-07-15,1.7
39,2020-08-15,4
39,2020-09-15,16.1
39,2020-10-15,46.7
39,2020-11-15,98.7
39,2020-12-15,35.6
40,2020-01-15,42.1
40,2020-02-15,2.7
40,2020-03-15,107.6
40,2020-04-15,88.1
40,2020-05-15,46.7
40,2020-06-15,61
40,2020-07-15,25.2
40,2020-08-15,21
40,2020-09-15,44
40,2020-10-15,54.9
40,2020-11-15,36.2
40,2020-12-15,60.9
41,2020-01-15,190.1
41,2020-02-15,0.6
41,2020-03-15,70.1
41,2020-04-15,132.8
41,2020-05-15,77.7
41,2020-06-15,53.6
41,2020-07-15,1.9
41,2020-08-15,22.8
41,2020-09-15,29
41,2020-10-15,12.2
41,2020-11-15,99.9
41,2020-12-15,16.5
42,2020-01-15,97.5
42,2020-02-15,0.1
42,2020-03-15,110.2
42,2020-04-15,88.4
42,2020-05-15,73
42,2020-06-15,47.9
42,2020-07-15,16.7
42,2020-08-15,25.2
42,2020-09-15,13.4
42,2020-10-15,15.4
42,2020-11-15,85.4
42,2020-12-15,32.6
43,2020-01-15,27.1
43,2020-02-15,1.7
43,2020-03-15,63.6
43,2020-04-15,72.8
43,2020-05-15,40.4
43,2020-06-15,8.7
43,2020-07-15,2.1
43,2020-08-15,22
43,2020-09-15,34.8
43,2020-10-15,55.2
43,2020-11-15,69.8
43,2020-12-15,35.2
44,2020-01-15,168.9
44,2020-02-15,2.7
44,2020-03-15,133.2
44,2020-04-15,67.5
44,2020-05-15,37.6
44,2020-06-15,20.1
44,2020-07-15,17.3
44,2020-08-15,10.5
44,2020-09-15,18.6
44,2020-10-15,11.3
44,2020-11-15,160.8
44,2020-12-15,13.3
45,2020-01-15,22.4
45,2020-02-15,3.1
45,2020-03-15,38.3
45,2020-04-15,103.5
45,2020-05-15,37.8
45,2020-06-15,32
45,2020-07-15,16.7
45,2020-08-15,16.6
45,2020-09-15,43.4
45,2020-10-15,72.3
45,2020-11-15,27.5
45,2020-12-15,36.8
47,2020-01-15,36.2
47,2020-02-15,6.5
47,2020-03-15,49.6
47,2020-04-15,112.9
47,2020-05-15,39.6
47,2020-06-15,27.1
47,2020-07-15,15.8
47,2020-08-15,28.6
47,2020-09-15,35.4
47,2020-10-15,114.1
47,2020-11-15,55.3
47,2020-12-15,50.3
48,2020-01-15,72.7
48,2020-02-15,0.5
48,2020-03-15,84
48,2020-04-15,67.1
48,2020-05-15,73.4
48,2020-06-15,55.5
48,2020-07-15,7.9
48,2020-08-15,8
48,2020-09-15,19.9
48,2020-10-15,28.5
48,2020-11-15,41.7
48,2020-12-15,39.6
